Names,Apparent I Band Magnitude,Velocity Width,Radial Velocity,b/a
4,15.02,154,4458,0.22
55,15.13,179,4779,0.3
68,14.09,206,7664,0.59
70,13.57,426,6800,0.14
76,12.71,409,6920,0.4
118,14.91,118,6364,0.44
124,14.57,248,6350,0.14
165,14.11,275,7620,0.24
176,12.77,349,6465,0.62
179,13.49,289,5537,0.27
181,14.77,95,1956,0.28
186,12.6,480,7894,0.38
195,12.65,221,6803,0.66
201,13.42,302,8629,0.68
205,12.09,447,7267,0.46
218,9.63,455,1059,0.43
250,12.24,331,7265,0.54
259,14.66,241,6412,0.59
279,10.54,411,2309,0.22
293,12.87,401,7269,0.33
298,13.84,168,4452,0.52
301,14.03,272,5091,0.54
305,13.09,210,3114,0.59
312,11.88,301,3833,0.39
329,13.31,274,7177,0.42
354,11.52,472,6154,0.66
356,14.95,269,7824,0.33
367,12.22,510,7426,0.33
393,12.53,501,9523,0.48
415,12.71,372,7532,0.62
431,14.4,250,6615,0.3
448,13.52,340,8962,0.43
511,13.06,278,5370,0.68
559,14.76,183,5410,0.38
569,11.99,477,5087,0.21
619,13.05,168,4641,0.65
627,12.88,158,1518,0.21
634,11.26,554,6800,0.54
644,14.67,192,4580,0.23
650,11.72,464,4828,0.26
652,13.46,148,4524,0.45
690,12.49,367,8322,0.62
731,13.76,451,7059,0.14
732,12.24,296,4592,0.68
743,13.49,289,8157,0.59
759,12.42,307,4797,0.49
767,12.19,382,4770,0.46
789,12.13,538,7854,0.37
798,11.5,442,6039,0.62
830,14.08,165,4512,0.63
833,13.8,236,6352,0.37
847,12.66,505,7647,0.39
878,13.22,90,2023,0.62
902,12.45,313,5357,0.37
963,12.96,285,3971,0.43
1011,12.03,395,5363,0.36
1051,14.97,290,4212,0.31
1056,14.29,276,5474,0.33
1089,14.15,227,4877,0.29
1106,12.08,407,3994,0.26
1107,12.59,121,1135,0.56
1109,12.6,259,3968,0.33
1123,13.28,328,5056,0.23
1130,11.83,249,3233,0.63
1139,14.14,199,5680,0.71
1144,12.96,180,5443,0.38
1149,12.35,393,7306,0.65
1152,13.94,212,5997,0.59
1154,13.16,249,4844,0.52
1158,13.59,313,6055,0.32
1170,13.04,235,5800,0.69
1172,13.3,447,8924,0.29
1176,13.45,308,7043,0.31
1231,13.74,205,4473,0.47
1248,13.69,283,7083,0.62
1276,12.87,392,5834,0.42
1284,14.61,105,1810,0.45
1288,12.92,279,3709,0.42
1301,13.42,284,5734,0.41
1325,12.12,434,7662,0.44
1372,14.06,210,5290,0.59
1382,13.15,351,5813,0.32
1387,13.85,305,7029,0.32
1404,13.72,308,6269,0.33
1413,13.74,239,4493,0.39
1419,13.38,179,4355,0.71
1431,14.95,88,4869,0.42
1434,13.29,78,4871,0.49
1439,12.25,367,7090,0.66
1440,12.86,103,1435,0.65
1478,14.53,269,5258,0.34
1520,13.09,277,5708,0.59
1534,13.47,247,4302,0.28
1547,12.98,294,8182,0.65
1549,15.84,66,4279,0.69
1552,13.97,204,4668,0.43
1572,12.44,393,6801,0.26
1577,12.98,335,8674,0.58
1594,13.36,225,4550,0.44
1606,13.52,218,6266,0.63
1609,12.66,399,5329,0.13
1634,13.16,285,4023,0.29
1651,12.51,207,1855,0.35
1658,12.71,331,5173,0.2
1665,12.23,254,2131,0.3
1713,13.93,232,3917,0.37
1715,12.6,237,4066,0.56
1723,12.94,210,4404,0.47
1743,13.8,377,9593,0.35
1748,14.19,208,4290,0.41
1750,13.86,91,1344,0.58
1751,14.18,319,7640,0.15
1759,13.3,313,6090,0.38
1797,15.1,246,6350,0.1
1802,13.82,137,5210,0.69
1813,12.05,160,1455,0.37
1828,13.41,337,6315,0.54
1833,13.71,313,7256,0.35
1841,12.07,321,3527,0.44
1844,11.52,384,5365,0.68
1851,9.19,455,1602,0.21
1879,13.4,272,7273,0.6
1886,13.05,388,7838,0.52
1908,12.61,363,6119,0.49
1909,12.73,272,3587,0.68
1913,14.08,197,4653,0.32
1924,12.98,116,2085,0.59
1926,13.93,358,7095,0.11
1932,12.77,307,3555,0.41
1957,13.32,279,6356,0.22
1970,14.73,149,2374,0.17
1971,14.29,202,4673,0.26
1977,12.76,256,2963,0.25
1979,12.64,357,4044,0.19
1982,13.22,307,6118,0.45
1986,13.35,276,4934,0.33
2001,13.2,284,6177,0.52
2003,13.99,246,5399,0.41
2022,13.26,223,4390,0.46
2023,13.89,243,5181,0.46
2052,10.26,317,1534,0.46
2071,12.96,115,1528,0.56
2085,14.74,176,4177,0.2
2088,13.96,219,5781,0.63
2094,13.4,291,5908,0.44
2122,12.65,176,3823,0.55
2133,12.8,268,5041,0.51
2134,11.32,626,5330,0.38
2138,12.04,327,3306,0.46
2139,13.6,268,5067,0.44
2143,13.05,348,6021,0.38
2148,14.6,203,5616,0.26
2159,14.15,277,9284,0.59
2160,13.48,220,5404,0.58
2194,12.51,527,8937,0.39
2199,12.88,300,7188,0.41
2202,11.39,585,4617,0.44
2228,12.83,268,3063,0.2
2231,13.54,325,5293,0.13
2232,11.04,123,3883,0.63
2241,11.95,406,3835,0.24
2260,14.77,192,5226,0.26
2261,14.96,205,4834,0.23
2265,13.31,145,3514,0.29
2294,13.74,245,5653,0.39
2302,13.87,252,5427,0.47
2312,13.31,391,5460,0.46
2342,13.29,199,5255,0.5
2349,11.95,82,1447,0.28
2363,13.43,156,7093,0.81
2380,12.4,291,3953,0.32
2383,15.08,223,6445,0.14
2386,15.72,295,4029,0.5
2387,11.62,408,5156,0.56
2390,12.78,367,4438,0.14
2412,13.74,124,3873,0.72
2440,13.3,201,5837,0.79
2445,12.57,148,1746,0.5
2458,12.67,412,4654,0.18
2479,11.04,346,4555,0.69
2492,12.93,134,1552,0.68
2504,14.07,210,4944,0.55
2520,14.49,169,6241,0.38
2526,13.01,187,1553,0.15
2553,15,175,4861,0.44
2571,13.66,297,6244,0.27
2586,12.87,189,5566,0.65
2597,12.3,282,4169,0.62
2611,14.49,209,6766,0.42
2615,14.03,230,5486,0.42
2616,13.35,341,6824,0.24
2704,12.48,333,5273,0.37
2739,14.41,227,4952,0.4
2747,12.7,344,5248,0.13
2759,13.1,276,7140,0.62
2767,12.84,251,4138,0.44
2769,14.09,332,9436,0.62
2782,14.34,173,5085,0.65
2799,13.14,152,6375,0.8
2805,13.81,131,1346,0.15
